seed,units_gcrk_better,units_gcrk_worse,sum_positive_gain,sum_negative_gain,net,share_pos_gain_top1pct_units,share_neg_gain_top1pct_units
0,1162,1498,28.257766930452593,-29.170630730738427,-0.9128638002858365,0.6265436003792774,0.5428287765822706
1,1291,1369,22.145138930848915,-22.539269754294423,-0.394130823445507,0.5398912886559397,0.5624190925294891
2,1103,1557,31.892752953947483,-33.436169871409355,-1.5434169174618724,0.6169354215725014,0.6034077624564121
3,1302,1358,33.985313332560025,-37.829774564871606,-3.8444612323115783,0.5601459416377679,0.45400401865188295
4,1080,1580,29.193795803202732,-36.39632227717745,-7.202526473974713,0.5203936992757858,0.5038407932332604
