design,seed,fold,tau_min_median,tau_max_median,tau_ratio_median,share_coords_gain_below_0p1,share_coords_gain_below_0p5,median_gain,tau_spread_across_units
main,0,1,9.150080413283089,20.331489782513238,2.404107389395534,0.0,0.1349169741697417,0.71747476631841,0.08049984185850664
main,0,2,10.082244508021,23.074139130199146,3.052621271709537,0.0,0.324853228962818,0.6186426747369327,0.059170490508085455
main,0,3,10.308179554100903,22.166340503107435,2.311765950122053,0.0,0.1372481684981685,0.6671873967478339,0.051270370618474885
main,0,4,10.653953388561398,21.988472672433417,2.24981450603534,0.0,0.11159026465028356,0.6928478600462764,0.0629386152583803
main,0,5,11.328825258511053,24.02794752369633,2.296933778359038,0.0,0.2838933270676692,0.5779263264731636,0.0663716943444621
main,1,1,8.34524208768911,31.527108744606252,4.062459419892891,0.0027098708487084872,0.47907057195571956,0.5130460287803176,0.20996005329884132
main,1,2,10.297311469923276,21.9506224705341,2.120713659317318,0.0,0.15319227005870842,0.7711339083245484,0.15953679472866708
main,1,3,8.852143018034845,22.557575317360644,2.7433130909237753,0.0,0.24851190476190477,0.6878983850004099,0.13167135473283698
main,1,4,9.087991196652075,24.23064905331288,2.756713017514045,0.0,0.21390595463137996,0.6648279216621451,0.12901429101341846
main,1,5,8.70477650426484,26.74715244039252,3.462987129317423,0.0,0.38116776315789475,0.573094873020066,0.15893670428329065
main,2,1,8.470145185282142,24.486826198623532,3.2801765635566746,0.0,0.302294741697417,0.6415056369904656,0.12987269680927668
main,2,2,13.503444480506042,18.814269977390666,1.4727974469924856,0.0,0.0,0.8585160326268118,0.053076348995258926
main,2,3,10.351912799874007,22.88421670528402,2.7296829013157873,0.0,0.2694024725274725,0.6991477981211385,0.10067804488862289
main,2,4,11.319901285086615,20.48261413778028,2.1028848710110024,0.0,0.180765595463138,0.7621465045791054,0.10887378393610395
main,2,5,10.840061325772389,20.612396984256804,2.3403651569967066,0.0,0.2710878759398496,0.6757118691605355,0.09434067705461247
main,3,1,7.447460846156152,30.3605797267849,4.205163116430194,0.0,0.5540244464944649,0.4709770636185882,0.0782461086687325
main,3,2,6.921767961798655,37.58524789364447,5.504801137127201,0.008806262230919765,0.6474437377690803,0.3926422686998048,0.10929115343406011
main,3,3,8.151064883801812,25.514346743347456,2.9427042356646473,0.00017170329670329672,0.3960050366300366,0.5678447384474696,0.09096782798599601
main,3,4,6.805972899478206,29.444993613313606,3.610263417909758,0.01760396975425331,0.5290642722117203,0.47524407165158256,0.10567253876733854
main,3,5,10.273099716561505,29.13584547287921,2.684517170661093,0.0,0.5084586466165414,0.4949853028940571,0.09883615000123533
main,4,1,8.682783672513509,27.56037422006461,3.6003739436750233,0.0,0.45018450184501846,0.5276511546239724,0.08571824645013348
main,4,2,8.966470185309158,31.056056379132023,3.927884862794732,0.0,0.5397504892367906,0.4723149297269422,0.08551509669198554
main,4,3,9.842776136289906,34.546371151881985,4.239834877578801,0.0,0.5153960622710623,0.4836017741427408,0.1242540973123439
main,4,4,10.341359875839444,32.56039235532461,3.0742458399057564,0.0,0.5613185255198487,0.4755638074280577,0.06133222978047096
main,4,5,9.904231137090362,34.04270050931589,3.117845938688185,0.0,0.6101973684210527,0.4518891312175868,0.0538166698708708
