endpoint,reference,n_events,mean_reference,mean_two,mean_difference,mean_gain_pct,median_gain_pct,positive_events,signflip_p,bootstrap_lo,bootstrap_hi,loo_min_mean
active48_step_mse,one,6,0.0003444943709560308,0.0003440933298838357,4.010410721951202e-07,0.09524405024509731,0.10829413574339851,5,0.0625,1.3383476170973903e-07,7.273713208198916e-07,2.532623163137678e-07
path24_mse,damped_persistence,6,0.004308534249243642,0.003996877036459834,0.0003116572127838088,6.706916560112584,7.277817620709094,5,0.09375,7.297109228938e-05,0.0005799058281846559,0.00020200011959816043
path24_mse,one,6,0.00404425199209042,0.003996877036459834,4.737495563058564e-05,1.3062961484480475,1.6023760915841372,5,0.25,-7.86758062052397e-06,0.00010214347041735264,2.942842511615496e-05
path24_mse,persistence,6,0.0043886254296996545,0.003996877036459834,0.000391748393239821,9.081495934045162,9.61884065606091,5,0.0625,0.00012168514495970027,0.0007059526322229807,0.0002565517032053039
h24_mse,damped_persistence,6,0.006393218476217498,0.005840932099185761,0.0005522863770317346,8.86295797863051,9.713208564314996,5,0.09375,9.095264709492738e-05,0.0010518304203512607,0.0003522640804356744
h24_mse,one,6,0.0058975005956547095,0.005840932099185761,5.656849646894774e-05,1.0484782064812883,0.5472253805129266,4,0.34375,-5.762327697831347e-05,0.0001727625241127229,1.671700391451085e-05
h24_mse,persistence,6,0.006569042294879822,0.005840932099185761,0.0007281101956940591,13.445439174145285,12.419278727174476,5,0.0625,0.00022123004074245918,0.00131859644079626,0.00047451375872265114
