cluster,n,n_eff,mu,v,U,R,c,one_branch,one_U,one_R,sigma,G,Gamma_neff,treatment_over_sigma
0,16116,14228.950517841144,0.03967959045936322,0.012777002690761728,0.0009166114340451127,0.010244556807183619,0.0009166114340451127,R,0.0,0.00862688013345859,0.021166361490330514,7.480025204840073e-07,23.75655772028674,0.04105286006685137
1,34764,31236.47830083968,0.042704102297905805,0.014419435512058699,0.001485095063939347,0.007922600114229288,0.001485095063939347,U,0.0012598777482697358,0.0,0.024349406407374624,9.723241804165537e-07,51.22670164211917,0.05767299405345172
2,20258,18172.81155529793,0.001325656279514705,0.0003772360783452044,1.0048046706658048e-05,0.016795426488709565,1.0048046706658048e-05,R,0.0,0.01677032813258924,0.002806295667244095,1.0049508352854179e-10,0.23189964679838326,0.003573751887664196
3,18332,16192.60627800845,0.03088081326604137,0.0071284867084107605,0.0008682500521999756,0.02826820188659681,0.0008682500521999756,R,0.0,0.02581896884381409,0.016584564661739246,6.649089082121117e-07,39.144500511645205,0.049908686699388596
4,4180,4040.956428495248,0.011097016452312156,0.0014800705283070537,0.0004623862036090986,0.03609392221711023,0.0004623862036090986,R,0.0,0.03335579598708447,0.009761907586301242,1.9737882854799407e-07,8.369805210693976,0.04645829928668042
5,20439,18504.42602030062,0.002998764325053751,0.0006173574753507517,0.00015064517516806845,0.029496356665209153,0.00015064517516806845,R,0.0,0.028925760790291043,0.00691506066877678,2.236814860634926e-08,8.655928659924355,0.021681470772814293
6,1661,1598.7449766568495,0.050604292041137304,0.01946517995385439,0.018000098156048902,6.331455604687108e-20,6.331455604687108e-20,U,0.018000098155721723,0.0,0.05602509196630642,8.474069908205504e-41,4.316244909438663e-35,1.0635577010370881e-18
7,24657,22675.44087141651,0.013373571698313415,0.004941891759121046,6.028860248869873e-06,0.00916723685221543,6.028860248869873e-06,R,0.0,0.009157520462950255,0.008021580633773277,3.5077657451651376e-11,0.0123613645806307,0.0007390706581823767
