arm,path_mse,h24_mse
two,0.003996877036459834,0.005840932099185763
one,0.00404425199209042,0.00589750059565471
global_constant_two,0.004134620388672642,0.0060820767586126125
global_constant_one,0.004253900210553593,0.006339152731389072
damped_persistence,0.004275205237317479,0.006325084060027073
persistence,0.0043886254296996545,0.006569042294879822
hgb_recursive,0.005084210359522335,0.00768049938085182
