contrast,change,ci_lo,ci_hi
GCRK vs W,0.01784521382717963,-0.0029751730620492453,0.03860263851591791
GCRK-S vs W,-0.010594668313733457,-0.028658113533814096,0.00879794379628761
GCRK-P vs W,0.02334841353385242,0.0024595839828410408,0.043761613052501314
GCRK-K8 vs W,0.015747340930795994,-0.0031931706464436546,0.035122629135992026
GCRK vs GCRK-S,0.028744419733864213,0.00844874673329581,0.04891666089893623
GCRK vs GCRK-P,-0.00537764033626531,-0.022338468450414702,0.010753272070624856
GCRK-K8 vs GCRK-S,0.02662408256850024,0.008616713220917078,0.045921990186720704
GCRK-K8 vs GCRK,-0.0020610922642112506,-0.013936288149924569,0.010410662890283136
