contrast,cluster,change,ci_lo,ci_hi
GCRK-slow vs GCRK-S,county,0.004370133042955526,-0.005818869098757068,0.013570621874464903
GCRK-slow vs GCRK-S,event x state,0.004370133042955526,-0.003405028851663813,0.012990358979037423
GCRK-slow vs GCRK-S,event,0.004370133042955526,-0.002755050277638782,0.008555763609008116
GCRK-slow vs GCRK,county,-0.023693238304237196,-0.037917898738533934,-0.009083955229652338
GCRK-slow vs GCRK,event x state,-0.023693238304237196,-0.03152580325919159,-0.013028194597233703
GCRK-slow vs GCRK,event,-0.023693238304237196,-0.02809638732097408,-0.004709718460046308
GCRK-slow vs W,county,-0.006270835380855044,-0.024785194585033112,0.01130269006851038
GCRK-slow vs W,event x state,-0.006270835380855044,-0.02937936199650295,0.01623239471080603
GCRK-slow vs W,event,-0.006270835380855044,-0.012261315041495635,0.026301390589029028
