arm,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,rmse_event_equal,false_activity,t_star_median,minutes,vs W
W,0.02597410113756555,0.0053639455220298475,0.013272675957879863,0.025876981023484843,0.024058622806970107,0.02703229092797737,0.021107993861973817,0.26693260444615596,650,113,0.0
GCRK,0.026437614526334193,0.005719376690205223,0.01361508551591968,0.026816261996925553,0.025323704858990607,0.027234329567528054,0.0214603411005964,0.3705771798596083,360,197,0.01784521382717963
GCRK-S,0.02569891415126567,0.005425338063422266,0.013418915576935255,0.02630127932644089,0.023775206240241806,0.026615906087046233,0.02105660326748973,0.30456712556979193,510,231,-0.01059466831373368
GCRK-K8,0.026383124163549772,0.005710557958258577,0.013523154700416842,0.026719193590104558,0.025149058001262267,0.027216278757354998,0.021317307120027516,0.35345307509742446,360,140,0.015747340930795994
GCRK-slow,0.02581122182516619,0.005460206402083766,0.013331303020067268,0.026253484691712913,0.024260754118240815,0.026680897592124768,0.021123962527297053,0.31468001657576505,510,208,-0.006270835380855155
