arm,rmse,mae,rmse 1-6 h,rmse 7-24 h,rmse 25-48 h,rmse 49-144 h,false_activity,t_star_median,beta,vs W
W,0.02597410113756555,0.0053639455220298475,0.013272675957879863,0.025876981023484843,0.024058622806970107,0.02703229092797737,0.26693260444615596,650,,0.0
GCRK,0.026437614526334193,0.005719376690205223,0.01361508551591968,0.026816261996925553,0.025323704858990607,0.027234329567528054,0.3705771798596083,360,"[0.69, 0.71, 0.7, 0.63, 0.68]",0.01784521382717963
GCRK-S,0.02569891415126567,0.005425338063422266,0.013418915576935255,0.02630127932644089,0.023775206240241806,0.026615906087046233,0.30456712556979193,510,"[0.75, 0.78, 0.74, 0.73, 0.69]",-0.01059466831373368
GCRK-P,0.026580555192095533,0.00574029277400548,0.013577325540274774,0.026693635948147113,0.025166771556801547,0.027501888094842008,0.3487566083305777,510,"[0.76, 0.76, 0.8, 0.54, 0.79]",0.023348413533852197
